bigg.metabolite,bigg.reaction,Mode,metabolite_id
10fthf,MTHFC,-,10fthf_c
10fthf,MTHFD,-,10fthf_c
15dap,DHFR,-,15dap_c
15dap,LYSTRS,-,15dap_c
1pyr5c,CTPS2,-,1pyr5c_c
1pyr5c,GF6PTA,-,1pyr5c_c
23dappa,DAPDC,-,23dappa_c
23dappa,GF6PTA,-,23dappa_c
23dappa,PANTS,-,23dappa_c
23dappa,SERD_D,-,23dappa_c
26dap__M,ARGabcpp,-,26dap__M_c
2cpr5p,PRAIi,-,2cpr5p_c
2dda7p,DDPA,-,2dda7p_c
2dda7p,DHQS,-,2dda7p_c
2ddg6p,GLCRAL,-,2ddg6p_c
2ddg6p,GLGC,+,2ddg6p_c
2dr5p,GLGC,+,2dr5p_c
2obut,ACHBS,-,2obut_c
2obut,GLGC,+,2obut_c
2obut,HOPNTAL,-,2obut_c
2obut,LDH_D,+,2obut_c
2obut,PDH,-,2obut_c
2pg,DDPA,-,2pg_c
2pg,G3PD2,-,2pg_c
2pg,MGSA,-,2pg_c
2pglyc,ASPT,-,2pglyc_c
2pglyc,TPI,-,2pglyc_c
3dhq,DHQTi,-,3dhq_c
3hpp,PANTS,-,3hpp_c
3mob,VALTA,-,3mob_c
3pg,FBA,-,3pg_c
3pg,GDPMNP,-,3pg_c
3pg,GLGC,+,3pg_c
3pg,ICL,-,3pg_c
3pg,MGSA,-,3pg_c
3pg,PGCD,-,3pg_c
3pg,PPCK,-,3pg_c
3pg,PTHRpp,+,3pg_c
3psme,PSCVT,-,3psme_c
3sala,ASNS1,-,3sala_c
4abut,PANTS,-,4abut_c
4abz,ADCS,+,4abz_c
4ahmmp,HMPK1,-,4ahmmp_c
4hbz,ANS,-,4hbz_c
4hbz,CHRPL,-,4hbz_c
4hthr,4HTHRS,-,4hthr_c
4mop,HOPNTAL,-,4mop_c
4per,A5PISO,-,4per_c
4ppan,PPNCL2,-,4ppan_c
5mta,AHCYSNS,-,5mta_c
5mta,APCS,-,5mta_c
5mthf,DHFS,-,5mthf_c
6hmhpt,DHNPA2r,-,6hmhpt_c
6pgc,DDPGALA,-,6pgc_c
6pgc,KG6PDC,-,6pgc_c
6pgc,PGI,-,6pgc_c
6pgc,RPI,-,6pgc_c
8aonn,AMAOTr,-,8aonn_c
8aonn,AOXSr2,-,8aonn_c
aacoa,ACACT1r,-,aacoa_c
aacoa,PNTK,-,aacoa_c
ac,ACODA,-,ac_c
ac,ADPT,+,ac_c
ac,AGDC,-,ac_c
ac,ASPCT,-,ac_c
ac,CYANST,-,ac_c
ac,DHQTi,-,ac_c
ac,DURIK1,-,ac_c
ac,GLCRAL,-,ac_c
acald,ACALD,-,acald_c
acald,BETALDHx,-,acald_c
acald,PDH,-,acald_c
accoa,3OAR100,-,accoa_c
accoa,3OAS121,-,accoa_c
accoa,CS,+,accoa_c
accoa,FORCT,-,accoa_c
accoa,ME2,-,accoa_c
accoa,OXCDC,-,accoa_c
accoa,PDH,-,accoa_c
accoa,PNTK,-,accoa_c
accoa,PPC,+,accoa_c
accoa,PPCK,+,accoa_c
acgam1p,G1PACT,-,acgam1p_c
acgam1p,UACMAMO,+,acgam1p_c
acgam6p,AGDC,-,acgam6p_c
acgam6p,G6PDA,+,acgam6p_c
acglu,ACGS,-,acglu_c
acglu,CBPS,+,acglu_c
acon_C,FUM,-,acon_C_c
acon_C,GLUSy,-,acon_C_c
acon_C,ICL,-,acon_C_c
acon_T,ACONMT,-,acon_T_c
acon_T,FUM,-,acon_T_c
actp,ME2,+,actp_c
actp,TMPPP,-,actp_c
ade,AHCYSNS,-,ade_c
ade,AMAOTr,-,ade_c
ade,CTPS2,-,ade_c
ade,DBTS,-,ade_c
ade,DURIK1,-,ade_c
ade,ORPT,-,ade_c
adn,AHCYSNS,-,adn_c
adn,AMAOTr,-,adn_c
adn,ASPCT,+,adn_c
adn,CTPS2,-,adn_c
adn,CYTD,-,adn_c
adn,GMPS2,-,adn_c
adn,LEUTRS,-,adn_c
adn,METTRS,-,adn_c
adn,NADS1,-,adn_c
adn,ORPT,-,adn_c
adn,PUNP1,-,adn_c
adp,ACGAMK,-,adp_c
adp,ADNCYC,-,adp_c
adp,ADSK,-,adp_c
adp,AGMHE,-,adp_c
adp,ASNN,-,adp_c
adp,ATPS4rpp,-,adp_c
adp,CDAPPA120,-,adp_c
adp,DBTS,-,adp_c
adp,DPR,-,adp_c
adp,FBP,-,adp_c
adp,FRUK,-,adp_c
adp,G3PD2,-,adp_c
adp,GDPMNP,-,adp_c
adp,GLCS1,-,adp_c
adp,GLU5K,-,adp_c
adp,GLUPRT,-,adp_c
adp,GLUSy,-,adp_c
adp,GLYK,-,adp_c
adp,GMPS2,-,adp_c
adp,GSNK,-,adp_c
adp,GTPCI,-,adp_c
adp,IMPD,-,adp_c
adp,LDH_D,-,adp_c
adp,LEUTRS,-,adp_c
adp,NADS1,-,adp_c
adp,NDPK1,-,adp_c
